
 
;** AVVISO MERCE MANCANTE AL: 04/12/2008 **
;FILTRI SU SCORTA: 1/3/5/7
 
Codice;Descrizione;Imballo;N. Imballi;Giacenza;Arrivi: Data;Arrivi: Pezzi
002650;GENERATORE SONAX SP.EDIT 2500 ;A VISTA da 1 x 1    ;      -487,0;      -487
003024;URSUS COMPRESSORE 50 LT.      ;A VISTA da 1 x 1    ;      -632,0;      -632
000439;LUBEX MULTIGRADE 15W40 LT.10  ;LATTA da 1 x 10     ;    -3.402,0;    -3.402
002784;SONAX BIDONE ASPI 24LT 1400W  ;A VISTA da 1 x 1    ;    -1.260,0;    -1.260
002279;COMPRESSORE SONAX 24 LT       ;A VISTA da 1 x 1    ;      -790,0;      -790
002819;GENERATORE NO NAME 2400 WATTS ;A VISTA da 1 x 1    ;      -288,0;      -288
001372;B&D IDRO PW 1300 B (100 bar)  ;A VISTA da 1 x 1    ;    -1.127,0;    -1.127
003025;HITACHI PERCUSSIONE DV16V     ;A VISTA da 1 x 1    ;      -426,0;      -426
002432;AVVIATORE JUMP STARTER LBX    ;A VISTA da 1 x 1    ;    -1.068,0;    -1.068
002626;SONAX BIDONE ASPI 15 LT 1000W ;A VISTA da 1 x 1    ;    -1.181,0;    -1.181
002856;BOSCH TRAPANO PSB 500 RE      ;A VISTA da 1 x 1    ;      -883,0;      -883
002907;B&D IDRO PW 1300 COMPACT      ;A VISTA da 1 x 1    ;      -859,0;      -859
002147;IDRO ANNOVI REVERBERI T 120 K ;A VISTA da 1 x 1    ;      -711,0;      -711
002706;POWER AIR COMPRESSORE 24 LT   ;A VISTA da 1 x 1    ;      -405,0;      -405
003038;AVVITATORE A PERCUSSIONE 18V  ;A VISTA da 1 x 1    ;      -890,0;      -890
003049;BOSCH TRAPANO PSB500RE TORCIA ;A VISTA da 1 x 1    ;      -597,0;      -597
002705;POWER AIR GENERATORE 2400     ;A VISTA da 1 x 1    ;      -133,0;      -133
002013;B&D IDRO PW 1500 WB (120 bar) ;A VISTA da 1 x 1    ;      -320,0;      -320
000420;LUBEX UNIFIED+ 15W40 LT.5     ;CONF. da 6 x 5      ;      -359,6;    -2.158
001586;SONAX LAVAVETRI -10 LT.5      ;CONF. da 4 x 5      ;    -1.920,7;    -7.683
001149;BATTERIA URSUS 80Ah DX        ;A VISTA da 1 x 1    ;      -382,0;      -382
002887;SONAX BORSA CON PRODOTTI      ;A VISTA da 1 x 1    ;    -2.457,0;    -2.457
002923;CENERELLO 18L MOTOR 600W      ;A VISTA da 1 x 1    ;      -573,0;      -573
003094;LAVOR IDRO LC 1500 HS 120 BAR ;A VISTA da 1 x 1    ;      -375,0;      -375
002282;GENERATORE COR.SONAX NPEGG780 ;A VISTA da 1 x 1    ;      -165,0;      -165
002504;BOSCH CARICABATTERIE BC 8     ;CONF. da 20 x 1     ;       -21,1;      -423
003083;KIT 5 PEZZI PER COMPRESSORE   ;A VISTA da 1 x 1    ;      -700,0;      -700
002734;SOLLEVATORE IDRAULICO 2000KG  ;A VISTA da 1 x 1    ;      -691,0;      -691
002399;MICHELIN GUANTI HOMBURG       ;A VISTA da 1 x 1    ;    -4.855,0;    -4.855
003088;KIT 6 PEZZI PER COMPRESSORE   ;A VISTA da 1 x 1    ;      -430,0;      -430
002890;MICHELIN TOOL CHEST MTC 3     ;A VISTA da 1 x 1    ;       -96,0;       -96
002546;BATTERIA MV+ 45               ;A VISTA da 1 x 1    ;      -344,0;      -344
002676;SONAX MINICOMPRESSORE 250 PSI ;A VISTA da 1 x 1    ;    -1.022,0;    -1.022
002073;B&D IDRO PW 1400 K (110 bar)  ;A VISTA da 1 x 1    ;      -163,0;      -163
002069;BLAUPUNKT AMPLIF.GTA 4  MKII  ;A VISTA da 1 x 1    ;       -78,0;       -78
003072;HITACHI AVV DS14DVF3 14,4 2B+T;A VISTA da 1 x 1    ;       -49,0;       -49
002951;B&D IDRO PW 1700 SPM (130 bar);A VISTA da 1 x 1    ;       -73,0;       -73
000434;LUBEX ULTRA SYNT 10W40 LT.1   ;CONF. da 15 x 1     ;      -175,3;    -2.630
002812;SALDATRICE ONDULIX 80 INVERTER;A VISTA da 1 x 1    ;       -69,0;       -69
002328;GOODYEAR N.6 CATENE NEVE (C)  ;A VISTA da 1 x 1    ;      -208,0;      -208
001631;PHILIPS 1 LAMP H7 PREMIUM     ;CONF. da 10 x 1     ;      -279,9;    -2.799
003026;URSUS TAPPETO GOMMA/MOQUETTE  ;A VISTA da 1 x 1    ;      -580,0;      -580
002608;TRANSPALLET IDRAULICO MANUALE ;A VISTA da 1 x 1    ;       -31,0;       -31
002324;COMPRESSORE SONAX 6 LT        ;A VISTA da 1 x 1    ;       -84,0;       -84
002326;GOODYEAR N.5 CATENE NEVE (C)  ;A VISTA da 1 x 1    ;      -178,0;      -178
002327;GOODYEAR N.7 CATENE NEVE (C)  ;A VISTA da 1 x 1    ;      -174,0;      -174
002888;SOLLEVATORE PER MOTOCICLI     ;A VISTA da 1 x 1    ;       -60,0;       -60
002325;GOODYEAR N.9 CATENE NEVE (C)  ;A VISTA da 1 x 1    ;      -166,0;      -166
002693;SONAX CAVI BAT. TUV 10 mm2    ;A VISTA da 1 x 1    ;      -515,0;      -515
003022;VALIGETTA PORTAUTENSILI       ;A VISTA da 1 x 1    ;      -890,0;      -890
002507;BOSCH CARICABATTERIE BC 4     ;CONF. da 10 x 1     ;       -23,5;      -235
002411;MICHELIN SCARPE PILOT BLU -41 ;A VISTA da 1 x 1    ;      -106,0;      -106
002545;BATTERIA MV+ 100              ;A VISTA da 1 x 1    ;       -76,0;       -76
001176;BATTERIA URSUS 60Ah SX        ;A VISTA da 1 x 1    ;       -98,0;       -98
002330;GOODYEAR N.10 CATENE NEVE (C) ;A VISTA da 1 x 1    ;      -145,0;      -145
003039;IDRO CARRELLATA DUC 130       ;A VISTA da 1 x 1    ;      -110,0;      -110
002954;URSUS 1 SPAZZOLA 60           ;CONF. da 50 x 1     ;       -58,6;    -2.934
002329;GOODYEAR N.8 CATENE NEVE (C)  ;A VISTA da 1 x 1    ;      -130,0;      -130
002987;SOFFIATORE A BENZINA BLS31    ;A VISTA da 1 x 1    ;       -39,0;       -39
002842;JUMP STARTER THOR 150         ;A VISTA da 1 x 1    ;       -65,0;       -65
002956;URSUS 1 SPAZZOLA 55           ;CONF. da 50 x 1     ;       -53,2;    -2.664
002665;COMPRESSORE MASTER KIT 24 LT  ;A VISTA da 1 x 1    ;       -36,0;       -36
002744;ALZA SEGGIOLINO OMOL.(15-36kg);A VISTA da 1 x 1    ;      -316,0;      -316
002332;GOODYEAR N.4 CATENE NEVE (C)  ;A VISTA da 1 x 1    ;      -116,0;      -116
002955;URSUS 1 SPAZZOLA 58           ;CONF. da 50 x 1     ;       -26,6;    -1.334
002331;GOODYEAR N.11 CATENE NEVE (C) ;A VISTA da 1 x 1    ;      -109,0;      -109
003070;URSUS REFIL 2 PEZZI 60 CM     ;A VISTA da 1 x 1    ;    -2.950,0;    -2.950
002853;BOSCH SEGHETTO ALERNAT PST 650;A VISTA da 1 x 1    ;       -77,0;       -77
002947;MOBILE RESINA ALTO TUTTOPIANI ;A VISTA da 1 x 1    ;       -64,0;       -64
002527;LUBEX TOP SCOOTER 2T LT.1     ;CONF. da 15 x 1     ;       -93,5;    -1.403
002958;URSUS 1 SPAZZOLA 51           ;CONF. da 50 x 1     ;       -43,2;    -2.164
002959;URSUS 1 SPAZZOLA 48           ;CONF. da 50 x 1     ;       -42,7;    -2.137
001632;PHILIPS 1 LAMP H4 PREMIUM     ;CONF. da 10 x 1     ;      -193,1;    -1.931
002525;MICHELIN SCARPA 4X4 ALTA TG.44;A VISTA da 1 x 1    ;       -69,0;       -69
002949;MOBILE RESINA BASSO           ;A VISTA da 1 x 1    ;      -105,0;      -105
002291;SONAX KIT 5 ACCESSORI ARIA    ;CONF. da 10 x 1     ;       -17,0;      -170
002980;BOSCH LEVIGATRICE PALM PSM80A ;A VISTA da 1 x 1    ;       -60,0;       -60
000427;LUBEX EVO TURBODIES.15W40 LT.1;CONF. da 15 x 1     ;       -80,4;    -1.207
002904;SONAX LAVAVETRI -20 LT.5      ;CONF. da 4 x 5      ;      -227,7;      -911
002737;LAVOR SPAZZATRICE PROF.SWP 650;A VISTA da 1 x 1    ;       -57,0;       -57
002777;BOSCH CACCIAVITE A CRICCHETTO ;CONF. da 10 x 1     ;       -46,7;      -467
000141;CASTROL SLX LONGLIFE 3 LT.1   ;CONF. da 12 x 1     ;       -28,5;      -343
002409;MICHELIN SCARPE PILOT BLU -39 ;A VISTA da 1 x 1    ;       -68,0;       -68
002960;URSUS 1 SPAZZOLA 45           ;CONF. da 50 x 1     ;       -39,6;    -1.980
000314;BLAUPUNKT SUBWOOFER GTB 1200  ;A VISTA da 1 x 1    ;       -41,0;       -41
002522;MICHELIN SCARPA 4X4 ALTA TG.41;A VISTA da 1 x 1    ;       -92,0;       -92
002622;COMPRESSORE BOXY REVOLUTION   ;A VISTA da 1 x 1    ;       -47,0;       -47
002852;BOSCH SET X-50 TITANIUM       ;A VISTA da 1 x 1    ;      -165,0;      -165
002709;LAFAYETTE ALLARME TVCC LB-400 ;CONF. da 5 x 1      ;       -11,0;       -55
002871;BOSCH ELETTROSEGA AKE 30S     ;A VISTA da 1 x 1    ;       -28,0;       -28
002333;GOODYEAR N.3 CATENE NEVE (C)  ;A VISTA da 1 x 1    ;       -85,0;       -85
002334;GOODYEAR N.6/bis CATENE NEVE C;A VISTA da 1 x 1    ;       -83,0;       -83
