
 
;** AVVISO MERCE MANCANTE AL: 19/11/2008 **
;FILTRI SU SCORTA: 1/3/5/7
 
Codice;Descrizione;Imballo;N. Imballi;Giacenza;Arrivi: Data;Arrivi: Pezzi
003024;URSUS COMPRESSORE 50 LT.      ;A VISTA da 1 x 1    ;    -1.241,0;    -1.241
003025;HITACHI PERCUSSIONE DV16V     ;A VISTA da 1 x 1    ;    -1.536,0;    -1.536
002283;GENERATORE COR.SONAX NPEGG2400;A VISTA da 1 x 1    ;      -742,0;      -742
002784;SONAX BIDONE ASPI 24LT 1400W  ;A VISTA da 1 x 1    ;    -2.542,0;    -2.542
002279;COMPRESSORE SONAX 24 LT       ;A VISTA da 1 x 1    ;    -1.473,0;    -1.473
002812;SALDATRICE ONDULIX 80 INVERTER;A VISTA da 1 x 1    ;    -1.217,0;    -1.217
000055;AGIP SINT TURBODIESEL LT.4    ;CONF. da 6 x 4      ;      -742,8;    -4.457
001149;BATTERIA URSUS 80Ah DX        ;A VISTA da 1 x 1    ;    -1.796,0;    -1.796
002282;GENERATORE COR.SONAX NPEGG780 ;A VISTA da 1 x 1    ;    -1.070,0;    -1.070
002626;SONAX BIDONE ASPI 15 LT 1000W ;A VISTA da 1 x 1    ;    -2.470,0;    -2.470
003049;BOSCH TRAPANO PSB500RE TORCIA ;A VISTA da 1 x 1    ;    -1.507,0;    -1.507
002920;MAKITA SMERIGL 9554NB 115 mm  ;A VISTA da 1 x 1    ;    -1.049,0;    -1.049
003072;HITACHI AVV DS14DVF3 14,4 2B+T;A VISTA da 1 x 1    ;      -363,0;      -363
002819;GENERATORE NO NAME 2400 WATTS ;A VISTA da 1 x 1    ;      -304,0;      -304
002650;GENERATORE SONAX SP.EDIT 2500 ;A VISTA da 1 x 1    ;      -289,0;      -289
002607;COMPRESSORE ANONIMO 24 LT     ;A VISTA da 1 x 1    ;      -657,0;      -657
002432;AVVIATORE JUMP STARTER LBX    ;A VISTA da 1 x 1    ;    -1.275,0;    -1.275
002073;B&D IDRO PW 1400 K (110 bar)  ;A VISTA da 1 x 1    ;      -952,0;      -952
002013;B&D IDRO PW 1500 WB (120 bar) ;A VISTA da 1 x 1    ;      -698,0;      -698
001372;B&D IDRO PW 1300 B (100 bar)  ;A VISTA da 1 x 1    ;    -1.225,0;    -1.225
001146;BATTERIA URSUS 45Ah DX        ;A VISTA da 1 x 1    ;    -1.574,0;    -1.574
002907;B&D IDRO PW 1300 COMPACT      ;A VISTA da 1 x 1    ;    -1.080,0;    -1.080
002678;TRAPANO DA BANCO 350 WATT     ;A VISTA da 1 x 1    ;      -962,0;      -962
002853;BOSCH SEGHETTO ALERNAT PST 650;A VISTA da 1 x 1    ;      -976,0;      -976
002856;BOSCH TRAPANO PSB 500 RE      ;A VISTA da 1 x 1    ;      -864,0;      -864
002800;BOSCH IXO AVVITATORE          ;A VISTA da 1 x 1    ;    -1.103,0;    -1.103
002854;BOSCH SMERIGLIATRICE PWS 6-115;A VISTA da 1 x 1    ;      -895,0;      -895
002760;B&D IDRO PW 1500 SP           ;A VISTA da 1 x 1    ;      -559,0;      -559
002951;B&D IDRO PW 1700 SPM (130 bar);A VISTA da 1 x 1    ;      -373,0;      -373
002325;GOODYEAR N.9 CATENE NEVE (C)  ;A VISTA da 1 x 1    ;    -1.244,0;    -1.244
002147;IDRO ANNOVI REVERBERI T 120 K ;A VISTA da 1 x 1    ;      -651,0;      -651
002326;GOODYEAR N.5 CATENE NEVE (C)  ;A VISTA da 1 x 1    ;    -1.080,0;    -1.080
002705;POWER AIR GENERATORE 2400     ;A VISTA da 1 x 1    ;      -167,0;      -167
002706;POWER AIR COMPRESSORE 24 LT   ;A VISTA da 1 x 1    ;      -419,0;      -419
002405;COMPRESSORE SONAX 50 LT       ;A VISTA da 1 x 1    ;      -271,0;      -271
002949;MOBILE RESINA BASSO           ;A VISTA da 1 x 1    ;    -1.021,0;    -1.021
002291;SONAX KIT 5 ACCESSORI ARIA    ;CONF. da 10 x 1     ;      -162,6;    -1.626
001190;BOSCH 1 LAMP H7              4;CONF. da 20 x 1     ;      -463,4;    -9.269
002327;GOODYEAR N.7 CATENE NEVE (C)  ;A VISTA da 1 x 1    ;      -841,0;      -841
002608;TRANSPALLET IDRAULICO MANUALE ;A VISTA da 1 x 1    ;      -134,0;      -134
000421;LUBEX EVO BENZINA 15W40 LT.4  ;CONF. da 6 x 4      ;      -473,6;    -2.842
002328;GOODYEAR N.6 CATENE NEVE (C)  ;A VISTA da 1 x 1    ;      -782,0;      -782
002512;LUBEX SINTESI 2T LT.1         ;CONF. da 15 x 1     ;      -680,4;   -10.206
002330;GOODYEAR N.10 CATENE NEVE (C) ;A VISTA da 1 x 1    ;      -754,0;      -754
002676;SONAX MINICOMPRESSORE 250 PSI ;A VISTA da 1 x 1    ;    -2.662,0;    -2.662
002329;GOODYEAR N.8 CATENE NEVE (C)  ;A VISTA da 1 x 1    ;      -751,0;      -751
002890;MICHELIN TOOL CHEST MTC 3     ;A VISTA da 1 x 1    ;      -196,0;      -196
002665;COMPRESSORE MASTER KIT 24 LT  ;A VISTA da 1 x 1    ;      -193,0;      -193
002871;BOSCH ELETTROSEGA AKE 30S     ;A VISTA da 1 x 1    ;      -204,0;      -204
002817;GENERATORE NO NAME 3800 WATTS ;A VISTA da 1 x 1    ;       -45,0;       -45
002775;SALDATRICE ELETTRODI ARC 1000 ;A VISTA da 1 x 1    ;      -393,0;      -393
002693;SONAX CAVI BAT. TUV 10 mm2    ;A VISTA da 1 x 1    ;    -1.872,0;    -1.872
