;** RIFORNIMENTI DA DEPOSITI AL: 13/09/2016 **
 
Codice;Descrizione;Q.ta rifornimento;in arrivo LBX (PZ);da MTN;(in pallet);in arrivo (PZ);da SLI;(in pallet);in arrivo (PZ);da GIC;(in pallet);in arrivo (PZ);da SHI;(in pallet);in arrivo (PZ);da    ;(in pallet);in arrivo (PZ);da TRI;(in pallet);in arrivo (PZ);Mancante
008828;TEXACO URSA TD 15W40 LT.  5   ;          4;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         4;         1;         0;          0
009945;TEXACO HAV ULTRA 0W30 LT.1    ;         12;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        12;         1;         0;          0
008747;TEXACO HAV MULTI-V ATF LT.1   ;         12;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        12;         1;         0;          0
010088;CEPSA AVANT 15W40 LT.1        ;         18;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        18;         1;         0;          0
009503;TEXACO TARGA HAVOLINE         ;          8;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         8;         1;         0;          0
008779;TEXACO MOTEX 2T-X LT.1        ;         12;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        12;         1;         0;          0
009512;TEXACO LEAFLET HAVOLINE       ;        400;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;       400;         1;         0;          0
011935;TEXACO BROCH LUB VEIC COMMERC ;         45;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        45;         1;         0;          0
009174;CEPSA MOTO 4T HMEOC 10W30 LT.1;         12;        18;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        12;         1;         0;          0
009520;TEXACO TUTA HAVOLINE TG L     ;          3;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         3;         1;         0;          0
009507;TEXACO GUIDA PRODOTTO HAVOLINE;          8;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         8;         1;         0;          0
011936;TEXACO BROCH PROD RISP CARBURA;         30;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        30;         1;         0;          0
009511;TEXACO POSTER HAVOLINE        ;         19;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        19;         1;         0;          0
009516;TEXACO SCHEDA RIPARAZIONE     ;        250;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;       250;         1;         0;          0
013667;TEXACO CART. LUCIDO CAMB.OLIO ;        300;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;       300;         1;         0;          0
009513;TEXACO LETTERA DI BENVENUTO   ;          8;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         8;         1;         0;          0
012590;TEXACO TAZZA MULTI BRAND      ;         12;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        12;         1;         0;          0
009825;TEXACO ROLL OF 50             ;          5;         1;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         5;         1;         0;          0
013437;TEXACO ESPOSITORE TECHTRON    ;         64;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        64;         1;         0;          0
009420;TEXACO CAPELLINO BASEBALL RED ;         27;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        27;         1;         0;          0
012778;CEPSA TUTA RANGLANT T- MISTE  ;         50;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        50;         1;         0;          0
