;** RIFORNIMENTI DA DEPOSITI AL: 13/09/2016 **
 
Codice;Descrizione;Q.ta rifornimento;in arrivo LBX (PZ);da MTN;(in pallet);in arrivo (PZ);da SLI;(in pallet);in arrivo (PZ);da GIC;(in pallet);in arrivo (PZ);da SHI;(in pallet);in arrivo (PZ);da    ;(in pallet);in arrivo (PZ);da TRI;(in pallet);in arrivo (PZ);Mancante
009924;CEPSA XTAR 5W30 C2 DPF LT.5   ;        439;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;       439;         4;         0;          0
009923;CEPSA XTAR 5W30 C2 DPF LT.1   ;      2.050;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;     2.050;         4;         0;          0
012792;LUBEX ORIGINAL 50 L1          ;        325;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;       325;         5;         0;          0
012791;LUBEX ORIGINAL 44 L1          ;        341;       504;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;       341;         5;         0;          0
009068;MV+ BATTERIA 180 S            ;         65;       231;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        65;         4;         0;          0
005846;CEPSA GENUINE 5W30 SYN LT.5   ;        340;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;       340;         4;         0;          0
014134;TEXACO TEXTRAN 1000 THF LT.20 ;          2;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         2;         1;         0;          0
010155;TEXACO RANDO HD 68 LT. 208    ;         15;        20;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        15;         4;         0;          0
010113;TEXACO RANDO HD  46 LT. 208   ;         14;       120;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        14;         4;         0;          0
010116;TEXACO URSA TDX 10W40 LT. 208 ;          9;        16;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         5;         2;         0;          0
010144;CEPSA XTAR 10W40 SYNT LT.208  ;          9;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         9;         3;         0;          0
009029;TEXACO COMPR EP VDL  46 LT.208;          8;        16;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         4;         1;         0;          0
009061;MV+ BATTERIA 220              ;         35;        72;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         6;         1;         0;          0
010133;CEPSA AVANT 10W30 SYNT LT.208 ;          8;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         8;         2;         0;          0
008795;TEXACO MOTOR OIL 10W40 LT.208 ;          8;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         8;         2;         0;          0
003388;URSUS MAX BATTERIA  45 DX     ;        159;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;       159;         2;     5.736;          0
005855;CEPSA EUROMAX SYNT 10W40 LT208;          6;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         6;         2;         0;          0
009123;CEPSA XTAR MEGA TECH DCI LT.5 ;        140;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;       140;         2;         0;          0
010290;TEXACO CAPELLA WF 68 LT.208   ;          4;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         4;         1;         0;          0
010125;MV+ BATTERIA 95 J             ;         54;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        54;         1;         0;          0
009925;CEPSA XTAR 5W30 C2 DPF LT.208 ;          4;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         4;         1;         0;          0
009719;CEPSA XTAR 5W30 C2 DPF LT.4   ;        180;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;       180;         1;         0;          0
008810;TEXACO TEXTRAN TDH PRE LT.208 ;          5;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         5;         2;         0;          0
008964;TEXACO HDAX 7200 LT.1000      ;          1;         2;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         0;          0
008990;TEXACO URSA X 10W40 LT.208    ;          5;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         5;         2;         0;          0
008793;TEXACO TECHRON D  CONC ML350  ;        444;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;       444;         1;         0;          0
013233;TEXACO ANTIFREEZE LT.208      ;          8;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         8;         2;         0;          0
008744;TEXACO HAV EXTRA 10W40 LT.208 ;          5;        60;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         5;         2;         0;          0
004621;MV+ BATTERIA 120              ;         33;       288;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        33;         1;         0;          0
008753;TEXACO MEROPA  220 LT. 208    ;          5;        12;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         0;          0
003664;TEXACO URSA TDX 10W40 LT. 208 ;          4;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         4;         1;         0;          0
008771;TEXACO HAV ULTRA S 5W40 LT. 1 ;        513;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;       513;         1;         0;          0
009727;TEXACO MOTOR OIL S 5W40 LT.1  ;        576;     1.560;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;       576;         1;         0;          0
009938;CEPSA XTAR 10W40 SYNT LT.1    ;        630;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;       630;         2;         0;          0
010135;CEPSA AVANT 15W40 LT.208      ;          4;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         3;         1;         0;          1
009725;TEXACO MOTOR OIL 10W40 LT.1   ;        624;     2.496;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;       624;         1;         0;          0
008935;TEXACO TEXATHERM HT 22 LT.208 ;          4;         4;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         4;         1;         0;          0
009125;CEPSA AVANT 10W40 SYNT LT.5   ;        137;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;       137;         2;         0;          0
011541;TEXACO HDAX 9200 LA GAS LT1000;          2;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         2;         2;         0;          0
003392;URSUS MAX BATTERIA  55 SX     ;         59;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        59;         1;         0;          0
008957;TEXACO HAV ULTRA V 5W30 LT208 ;          2;         4;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         2;         1;         0;          0
009071;MV+ BATTERIA 140              ;         20;        48;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        20;         1;         0;          0
