
 
;** AVVISO MERCE MANCANTE AL: 25/11/2008 **
;FILTRI SU SCORTA: 1/3/5/7
 
Codice;Descrizione;Imballo;N. Imballi;Giacenza;Arrivi: Data;Arrivi: Pezzi
002784;SONAX BIDONE ASPI 24LT 1400W  ;A VISTA da 1 x 1    ;    -1.503,0;    -1.503
003024;URSUS COMPRESSORE 50 LT.      ;A VISTA da 1 x 1    ;      -550,0;      -550
002819;GENERATORE NO NAME 2400 WATTS ;A VISTA da 1 x 1    ;      -304,0;      -304
002626;SONAX BIDONE ASPI 15 LT 1000W ;A VISTA da 1 x 1    ;    -1.528,0;    -1.528
002650;GENERATORE SONAX SP.EDIT 2500 ;A VISTA da 1 x 1    ;      -289,0;      -289
001146;BATTERIA URSUS 45Ah DX        ;A VISTA da 1 x 1    ;    -1.604,0;    -1.604
001372;B&D IDRO PW 1300 B (100 bar)  ;A VISTA da 1 x 1    ;    -1.213,0;    -1.213
002073;B&D IDRO PW 1400 K (110 bar)  ;A VISTA da 1 x 1    ;      -864,0;      -864
002282;GENERATORE COR.SONAX NPEGG780 ;A VISTA da 1 x 1    ;      -550,0;      -550
002856;BOSCH TRAPANO PSB 500 RE      ;A VISTA da 1 x 1    ;      -844,0;      -844
002279;COMPRESSORE SONAX 24 LT       ;A VISTA da 1 x 1    ;      -489,0;      -489
002907;B&D IDRO PW 1300 COMPACT      ;A VISTA da 1 x 1    ;      -880,0;      -880
002147;IDRO ANNOVI REVERBERI T 120 K ;A VISTA da 1 x 1    ;      -651,0;      -651
002706;POWER AIR COMPRESSORE 24 LT   ;A VISTA da 1 x 1    ;      -418,0;      -418
002705;POWER AIR GENERATORE 2400     ;A VISTA da 1 x 1    ;      -143,0;      -143
003025;HITACHI PERCUSSIONE DV16V     ;A VISTA da 1 x 1    ;      -226,0;      -226
002920;MAKITA SMERIGL 9554NB 115 mm  ;A VISTA da 1 x 1    ;      -394,0;      -394
002013;B&D IDRO PW 1500 WB (120 bar) ;A VISTA da 1 x 1    ;      -295,0;      -295
002923;CENERELLO 18L MOTOR 600W      ;A VISTA da 1 x 1    ;      -711,0;      -711
002890;MICHELIN TOOL CHEST MTC 3     ;A VISTA da 1 x 1    ;      -162,0;      -162
002887;SONAX BORSA CON PRODOTTI      ;A VISTA da 1 x 1    ;    -2.424,0;    -2.424
001149;BATTERIA URSUS 80Ah DX        ;A VISTA da 1 x 1    ;      -347,0;      -347
003049;BOSCH TRAPANO PSB500RE TORCIA ;A VISTA da 1 x 1    ;      -398,0;      -398
000420;LUBEX UNIFIED+ 15W40 LT.5     ;CONF. da 6 x 5      ;      -247,8;    -1.487
001586;SONAX LAVAVETRI -10 LT.5      ;CONF. da 4 x 5      ;    -1.346,7;    -5.387
002714;LUBEX FREDDO&CALDO -20 KG.5   ;CONF. da 6 x 5      ;      -441,0;    -2.646
000631;TAMOIL MULTIFUEL 15W40 LT.4   ;CONF. da 6 x 4      ;      -198,1;    -1.189
002507;BOSCH CARICABATTERIE BC 4     ;CONF. da 10 x 1     ;       -60,6;      -606
003083;KIT 5 PEZZI PER COMPRESSORE   ;A VISTA da 1 x 1    ;      -700,0;      -700
002504;BOSCH CARICABATTERIE BC 8     ;CONF. da 20 x 1     ;       -16,6;      -333
000652;POLLICIONE OLIO 15W40 LT.4    ;CONF. da 6 x 4      ;      -148,3;      -890
002111;LAVOR WASH LC 1700 HS 230/50  ;A VISTA da 1 x 1    ;      -168,0;      -168
003020;SMERIGL 115mm CON VALIGETTA   ;A VISTA da 1 x 1    ;      -410,0;      -410
002812;SALDATRICE ONDULIX 80 INVERTER;A VISTA da 1 x 1    ;       -86,0;       -86
002069;BLAUPUNKT AMPLIF.GTA 4  MKII  ;A VISTA da 1 x 1    ;       -78,0;       -78
003072;HITACHI AVV DS14DVF3 14,4 2B+T;A VISTA da 1 x 1    ;       -49,0;       -49
