;** RIFORNIMENTI DA DEPOSITI AL: 29/11/2017 **
 
Codice;Descrizione;Q.ta rifornimento;in arrivo LBX (PZ);da TRI;(in pallet);in arrivo (PZ);da PAR;(in pallet);in arrivo (PZ);da CAS;(in pallet);in arrivo (PZ);Mancante
002266;CASTROL EDGE 0W30 LT.1        ;        442;         0;        91;         1;         0;         0;         0;         0;         0;         0;         0;        351
009721;BULK V 3000 10W40 LT.1        ;        340;         0;         3;         1;         0;         0;         0;         0;         0;         0;         0;        337
013995;LUBEX PRO 4T 10W40 LT.1       ;        289;         0;        18;         1;         0;         0;         0;         0;         0;         0;         0;        271
002343;BOSCH BATTERIA S4002 (52A DX) ;      1.145;       330;         0;         1;         0;         3;         1;       396;         0;         0;         0;        416
002342;BOSCH BATTERIA S4013 (95A DX) ;      1.316;         0;         0;         1;         0;       720;        20;       912;         0;         0;         0;          0
002340;BOSCH BATTERIA S4008 (74A DX) ;      1.811;         0;         0;         1;         0;       440;        10;     3.168;         0;         0;         0;          0
002357;BOSCH BATTERIA S4010 (80AH DX);        654;         0;         0;         1;         0;       654;        19;         0;         0;         0;         0;          0
002356;BOSCH BATTERIA S3008 (70A DX) ;        446;         0;         0;         1;         0;         5;         1;       396;         0;         0;         0;         45
010052;TEXACO URSA HEV DU 15W40 LT 20;         68;         0;        68;         3;         0;         0;         1;         0;         0;         0;         0;          0
002354;BOSCH BATTERIA S4009 (74AH SX);        502;         0;         0;         3;         0;       502;        11;         0;         0;         0;         0;          0
008801;TEXACO TEXAMATIC 7045E LT.1   ;         49;         0;         8;         1;         0;         0;        11;         0;         0;         0;         0;         41
010114;TEXACO RANDO HD  46 LT. 20    ;         85;         0;        54;         2;         0;         0;        11;         0;         0;         0;         0;         31
002351;BOSCH BATTERIA S3001 (41A DX) ;        511;         0;         0;         2;         0;       302;         5;       143;         0;         0;         0;         66
013519;COMMA SYNER-Z 5W30 LT.  1     ;        726;     1.583;         8;         1;         0;         0;         5;         0;         0;         0;         0;          0
002353;BOSCH BATTERIA S3007 (70A DX) ;        345;         0;         0;         1;         0;         9;         1;        77;         0;         0;         0;        259
002344;BOSCH BATTERIA S3005 (56A DX) ;        681;         2;         0;         1;         0;        50;         1;       924;         0;         0;         0;          0
010298;TEXACO URSA TD 15W40 LT. 20   ;         34;         0;         2;         1;         0;         0;         1;         0;         0;         0;         0;         32
002352;BOSCH BATTERIA S3006 (56A SX) ;        464;         7;         0;         1;         0;       332;         6;         0;         0;         0;         0;        125
008743;TEXACO HAV EXTRA 10W40 LT. 1  ;        789;         0;        40;         1;         0;         0;         6;         0;         0;         0;         0;        749
016713;TEXACO HAV EXTRA 10W40 LT. 1  ;         65;       200;         0;         1;         0;         0;         6;         0;        65;         1;       100;          0
010116;TEXACO URSA TDX 10W40 LT. 208 ;          5;         0;         5;         2;         0;         0;         6;         0;         0;         1;         0;          0
002345;BOSCH BATTERIA S4000-vedi 9133;        242;        78;         0;         2;         0;        21;         1;       902;         0;         1;         0;          0
008927;TEXACO STARPLEX EP 2 KG.0,400 ;        118;         0;         3;         1;         0;         0;         1;         0;         0;         1;         0;        115
008715;TEXACO CAPELLA PREMI 68 LT.208;          6;         0;         1;         1;         0;         0;         1;         0;         0;         1;         0;          5
008716;TEXACO HAV XLC 50/50 LT. 20   ;         12;         0;         3;         1;         0;         0;         1;         0;         0;         1;         0;          9
002347;BOSCH BATTERIA S4019 (40AH SX);        190;         0;         0;         1;         0;        57;         1;       473;         0;         1;         0;          0
010112;TEXACO RANDO HD  32 LT. 20    ;         20;         0;        20;         1;         0;         0;         1;         0;         0;         1;         0;          0
010156;SPOT DA 15" MEDIASET          ;         20;         0;        20;        20;         0;         0;         1;         0;         0;         1;         0;          0
002625;BOSCH BATTERIA S4022 (45A SX) ;        129;         0;         0;        20;         0;         7;         1;       231;         0;         1;         0;          0
008901;TEXACO RANDO HD  68 LT.1000   ;          3;         0;         3;         3;         0;         0;         1;         0;         0;         1;         0;          0
008955;TEXACO HAV ULTRA V 5W30 LT.1  ;         83;         0;        14;         1;         0;         0;         1;         0;         0;         1;         0;         69
015353;MOMO C/AUTO TAG. L - CC3LL    ;        434;         0;         0;         1;         0;         0;         1;         0;       434;         2;         0;          0
008803;TEXACO TEXAMATIC 7045E LT.20  ;          8;         0;         2;         1;         0;         0;         1;         0;         0;         2;         0;          6
008745;TEXACO HAV EXTRA 10W40 LT.20  ;         10;         0;        10;         1;         0;         0;         1;         0;         0;         2;         0;          0
008733;TEXACO GEAR EP-C 85W140 LT.20 ;          8;         0;         2;         1;         0;         0;         1;         0;         0;         2;         0;          6
008861;TEXACO HYDRAUL HDZ  46 LT. 20 ;          9;         0;         9;         1;         0;         0;         1;         0;         0;         2;         0;          0
008876;TEXACO MOLYTEX EP2 KG.18      ;          6;        12;         4;         1;         0;         0;         1;         0;         0;         2;         0;          0
008746;TEXACO HAV EXTRA 10W40 LT. 5  ;         71;         0;        15;         1;         0;         0;         1;         0;         0;         2;         0;         56
015359;MOMO CAR CARE KIT 3 PEZZI     ;        480;         0;         0;         1;         0;         0;         1;         0;       480;         1;         0;          0
015352;MOMO 4 TAPP.  MOQ - CM005BG   ;        292;         0;         0;         1;         0;         0;         1;         0;       292;         2;         0;          0
015413;MOMO PANNO  MICROFIBRA SPA POL;      1.160;         0;         0;         1;         0;         0;         1;         0;     1.140;         2;         0;         20
008754;TEXACO MEROPA  220 LT. 20     ;          7;         0;         5;         1;         0;         0;         1;         0;         0;         2;         0;          2
016159;MOMO FOD.018 UNIV. NERO/ROSS0 ;        938;         0;         0;         1;         0;         0;         1;         0;       938;         4;         0;          0
009093;TEXACO HAV XLI (CL00) LT.20   ;          6;         0;         6;         1;         0;         0;         1;         0;         0;         4;         0;          0
009892;TEXACO TEXCLAD AL EP O KG.180 ;        270;         0;       215;        54;         0;         0;         1;         0;         0;         4;         0;         55
010117;TEXACO URSA TDX 10W40 LT. 20  ;          5;         0;         4;         1;         0;         0;         1;         0;         0;         4;         0;          1
009479;TEXACO MOTOR OIL S 5W40 LT.20 ;          5;         0;         5;         1;         0;         0;         1;         0;         0;         4;         0;          0
008796;TEXACO MOTOR OIL 10W40 LT.20  ;          6;         0;         6;         1;         0;         0;         1;         0;         0;         4;         0;          0
008965;TEXACO MULTIG S 75W140 LT.208 ;          1;         0;         1;         1;         0;         0;         1;         0;         0;         4;         0;          0
015356;MOMO C/AUTO   TAG. L - CC1LL  ;        124;         0;         0;         1;         0;         0;         1;         0;       124;         1;         0;          0
010113;TEXACO RANDO HD  46 LT. 208   ;         54;         0;         8;         2;         0;         0;         1;         0;         0;         1;         0;         46
015346;MOMO CAR ORGANIZER DOC - CO003;        367;         0;         0;         2;         0;         0;         1;         0;       367;         2;         0;          0
008962;TEXACO HDAX 6500 LT.1000      ;          4;         8;         2;         2;         0;         0;         1;         0;         0;         2;         0;          0
015344;MOMO CAR ORGANIZER BA  - CO008;        118;         0;         0;         2;         0;         0;         1;         0;       118;         1;         0;          0
008768;TEXACO HAV ULTRA S 5W30 LT. 20;          3;         0;         3;         1;         0;         0;         1;         0;         0;         1;         0;          0
015358;MOMO CAR CARE KIT 9 PEZZI     ;        580;         0;         0;         1;         0;         0;         1;         0;       580;         2;         0;          0
008752;TEXACO MEROPA  150 LT. 20     ;          4;         0;         1;         1;         0;         0;         1;         0;         0;         2;         0;          3
010102;CEPSA AVANT 15W40 LT.4        ;          3;         0;         3;         1;         0;         0;         1;         0;         0;         2;         0;          0
015414;SONAX PANNO VETRI  - 416.700  ;      1.302;         0;         0;         1;         0;         0;         1;         0;     1.200;         1;         0;        102
015355;MOMO C/AUTO 1 TAG.M - CC1LM   ;         58;         0;         0;         1;         0;         0;         1;         0;        58;         1;         0;          0
013053;MALAT 185 55 R 15 82H ICEGRIP2;          4;         0;         4;         1;         0;         0;         1;         0;         0;         1;         0;          0
015345;MOMO CAR ORG. SEDILE - CO005  ;        124;         0;         0;         1;         0;         0;         1;         0;       124;         1;         0;          0
015086;CEPSA XTAR 0W20 PRO V LT.1000 ;        360;         0;        54;        54;         0;         0;         1;         0;         0;         1;         0;        306
010172;TEXACO HAV XLC 50/50 LT.1000  ;          1;         0;         1;         1;         0;         0;         1;         0;         0;         1;         0;          0
