
 
;** AVVISO MERCE MANCANTE AL: 23/12/2008 **
;FILTRI SU SCORTA: 1/3/5/7
 
Codice;Descrizione;Imballo;N. Imballi;Giacenza;Arrivi: Data;Arrivi: Pezzi
002279;COMPRESSORE SONAX 24 LT       ;A VISTA da 1 x 1    ;    -1.737,0;    -1.737
001149;BATTERIA URSUS 80Ah DX        ;A VISTA da 1 x 1    ;    -2.285,0;    -2.285
002282;GENERATORE COR.SONAX NPEGG780 ;A VISTA da 1 x 1    ;    -1.127,0;    -1.127
002650;GENERATORE SONAX SP.EDIT 2500 ;A VISTA da 1 x 1    ;      -483,0;      -483
002819;GENERATORE NO NAME 2400 WATTS ;A VISTA da 1 x 1    ;      -432,0;      -432
002281;COMPRESSORE SONAX ARIA DIRETTO;A VISTA da 1 x 1    ;    -1.480,0;    -1.480
002626;SONAX BIDONE ASPI 15 LT 1000W ;A VISTA da 1 x 1    ;    -2.001,0;    -2.001
001148;BATTERIA URSUS 60Ah DX        ;A VISTA da 1 x 1    ;    -1.522,0;    -1.522
002923;CENERELLO 18L MOTOR 600W      ;A VISTA da 1 x 1    ;    -1.558,0;    -1.558
002665;COMPRESSORE MASTER KIT 24 LT  ;A VISTA da 1 x 1    ;      -441,0;      -441
003128;VARTA POCKET CHARGER 4 AA INCL;CONF. da 4 x 1      ;      -949,5;    -3.798
002147;IDRO ANNOVI REVERBERI T 120 K ;A VISTA da 1 x 1    ;      -814,0;      -814
002856;BOSCH TRAPANO PSB 500 RE      ;A VISTA da 1 x 1    ;      -883,0;      -883
001144;BATTERIA URSUS *H50DX         ;A VISTA da 1 x 1    ;    -1.264,0;    -1.264
001372;B&D IDRO PW 1300 B (100 bar)  ;A VISTA da 1 x 1    ;      -984,0;      -984
002734;SOLLEVATORE IDRAULICO 2000KG  ;A VISTA da 1 x 1    ;    -2.203,0;    -2.203
002504;BOSCH CARICABATTERIE BC 8     ;CONF. da 20 x 1     ;       -60,1;    -1.202
000421;LUBEX EVO BENZINA 15W40 LT.4  ;CONF. da 6 x 4      ;      -632,6;    -3.796
001586;SONAX LAVAVETRI -10 LT.5      ;CONF. da 4 x 5      ;    -2.945,2;   -11.781
002507;BOSCH CARICABATTERIE BC 4     ;CONF. da 10 x 1     ;      -156,0;    -1.560
002706;POWER AIR COMPRESSORE 24 LT   ;A VISTA da 1 x 1    ;      -412,0;      -412
002667;BATTERIA SONAX 80+6=86AH DX   ;A VISTA da 1 x 1    ;      -464,0;      -464
002784;SONAX BIDONE ASPI 24LT 1400W  ;A VISTA da 1 x 1    ;      -550,0;      -550
003049;BOSCH TRAPANO PSB500RE TORCIA ;A VISTA da 1 x 1    ;      -701,0;      -701
002509;BOSCH CARICABATTERIE BC 6E    ;CONF. da 10 x 1     ;       -73,7;      -737
001314;BOSCH 2 LAMP H7 PLUS 50 EX  4f;CONF. da 10 x 1     ;      -172,1;    -1.721
002546;BATTERIA MV+ 45               ;A VISTA da 1 x 1    ;      -825,0;      -825
002907;B&D IDRO PW 1300 COMPACT      ;A VISTA da 1 x 1    ;      -576,0;      -576
000420;LUBEX UNIFIED+ 15W40 LT.5     ;CONF. da 6 x 5      ;      -383,6;    -2.302
003024;URSUS COMPRESSORE 50 LT.      ;A VISTA da 1 x 1    ;      -201,0;      -201
002608;TRANSPALLET IDRAULICO MANUALE ;A VISTA da 1 x 1    ;      -126,0;      -126
000426;LUBEX EVO BENZINA 15W40 LT.1  ;CONF. da 15 x 1     ;      -608,8;    -9.132
002752;LAVOR POMPA ASPIRA OLIO E LIQ.;A VISTA da 1 x 1    ;      -646,0;      -646
002705;POWER AIR GENERATORE 2400     ;A VISTA da 1 x 1    ;       -94,0;       -94
002775;SALDATRICE ELETTRODI ARC 1000 ;A VISTA da 1 x 1    ;      -358,0;      -358
003093;SKIL TRAPANO AVV.12V 1 BATT   ;A VISTA da 1 x 1    ;      -589,0;      -589
002013;B&D IDRO PW 1500 WB (120 bar) ;A VISTA da 1 x 1    ;      -215,0;      -215
002527;LUBEX TOP SCOOTER 2T LT.1     ;CONF. da 15 x 1     ;      -399,1;    -5.987
003119;BATTERIA LIQUIMOLY 80 AH DX   ;A VISTA da 1 x 1    ;      -251,0;      -251
002432;AVVIATORE JUMP STARTER LBX    ;A VISTA da 1 x 1    ;      -324,0;      -324
002676;SONAX MINICOMPRESSORE 250 PSI ;A VISTA da 1 x 1    ;    -1.430,0;    -1.430
003083;KIT 5 PEZZI PER COMPRESSORE   ;A VISTA da 1 x 1    ;      -700,0;      -700
002693;SONAX CAVI BAT. TUV 10 mm2    ;A VISTA da 1 x 1    ;    -1.213,0;    -1.213
003118;BATTERIA LIQUIMOLY 60 AH DX   ;A VISTA da 1 x 1    ;      -273,0;      -273
003117;BATTERIA LIQUIMOLY 55 AH DX   ;A VISTA da 1 x 1    ;      -310,0;      -310
002887;SONAX BORSA CON PRODOTTI      ;A VISTA da 1 x 1    ;    -1.556,0;    -1.556
003116;BATTERIA LIQUIMOLY 45 AH DX   ;A VISTA da 1 x 1    ;      -396,0;      -396
002949;MOBILE RESINA BASSO           ;A VISTA da 1 x 1    ;      -385,0;      -385
000427;LUBEX EVO TURBODIES.15W40 LT.1;CONF. da 15 x 1     ;      -298,8;    -4.482
003107;B&D KIT ACCESSORI PER COMPR.  ;A VISTA da 1 x 1    ;      -930,0;      -930
002737;LAVOR SPAZZATRICE PROF.SWP 650;A VISTA da 1 x 1    ;      -203,0;      -203
003042;COPPIA DI CAVALLETTI 2000 KG  ;A VISTA da 1 x 1    ;      -856,0;      -856
002659;LUBEX POWER 2T LT.1           ;CONF. da 15 x 1     ;      -296,0;    -4.440
002854;BOSCH SMERIGLIATRICE PWS 6-115;A VISTA da 1 x 1    ;      -218,0;      -218
002698;CARRELLO MANUALE PIATT.150 KG ;A VISTA da 1 x 1    ;      -450,0;      -450
002669;BATTERIA SONAX 55+4=59AH DX   ;A VISTA da 1 x 1    ;      -223,0;      -223
002833;GENERATORE SILENT 1000 WATTS  ;A VISTA da 1 x 1    ;       -35,0;       -35
000439;LUBEX MULTIGRADE 15W40 LT.10  ;LATTA da 1 x 10     ;      -430,0;      -430
000434;LUBEX ULTRA SYNT 10W40 LT.1   ;CONF. da 15 x 1     ;      -233,5;    -3.503
003100;SLIME SIGIL AUTO ML.473+ COMPR;A VISTA da 1 x 1    ;      -432,0;      -432
001758;BOSCH 1 LAMP H7 PLUS 10 DAY 4e;CONF. da 20 x 1     ;       -62,0;    -1.241
003038;AVVITATORE A PERCUSSIONE 18V  ;A VISTA da 1 x 1    ;      -290,0;      -290
002694;SONAX CAVI BAT. TUV 25 mm2    ;A VISTA da 1 x 1    ;      -380,0;      -380
002073;B&D IDRO PW 1400 K (110 bar)  ;A VISTA da 1 x 1    ;      -163,0;      -163
003088;KIT 6 PEZZI PER COMPRESSORE   ;A VISTA da 1 x 1    ;      -330,0;      -330
002704;SONAX BOXY REVOLUTION         ;A VISTA da 1 x 1    ;      -140,0;      -140
001176;BATTERIA URSUS 60Ah SX        ;A VISTA da 1 x 1    ;      -182,0;      -182
002545;BATTERIA MV+ 100              ;A VISTA da 1 x 1    ;      -138,0;      -138
002947;MOBILE RESINA ALTO TUTTOPIANI ;A VISTA da 1 x 1    ;      -165,0;      -165
000425;LUBEX ULTRA SYNT 10W40 LT.4   ;CONF. da 6 x 4      ;      -143,6;      -862
003094;LAVOR IDRO LC 1500 HS 120 BAR ;A VISTA da 1 x 1    ;      -192,0;      -192
002069;BLAUPUNKT AMPLIF.GTA 4  MKII  ;A VISTA da 1 x 1    ;       -78,0;       -78
003098;SLIME SIGILLANTE MOTO ML.237  ;A VISTA da 1 x 1    ;      -306,0;      -306
000436;LUBEX TOP SCOOTER 4T LT.1     ;CONF. da 15 x 1     ;      -223,0;    -3.346
002951;B&D IDRO PW 1700 SPM (130 bar);A VISTA da 1 x 1    ;       -73,0;       -73
002948;MOBILE RESINA PORTASCOPE      ;A VISTA da 1 x 1    ;      -147,0;      -147
002888;SOLLEVATORE PER MOTOCICLI     ;A VISTA da 1 x 1    ;       -85,0;       -85
002709;LAFAYETTE ALLARME TVCC LB-400 ;CONF. da 5 x 1      ;       -29,6;      -148
002678;TRAPANO DA BANCO 350 WATT     ;A VISTA da 1 x 1    ;      -153,0;      -153
002325;GOODYEAR N.9 CATENE NEVE (C)  ;A VISTA da 1 x 1    ;      -207,0;      -207
002291;SONAX KIT 5 ACCESSORI ARIA    ;CONF. da 10 x 1     ;       -41,7;      -417
002379;TELWIN SPEED START 1000       ;A VISTA da 1 x 1    ;      -154,0;      -154
003112;VARTA 4 BATT.HIGH ENERGY AA   ;CONF. da 20 x 1     ;      -189,0;    -3.780
002853;BOSCH SEGHETTO ALERNAT PST 650;A VISTA da 1 x 1    ;      -160,0;      -160
002326;GOODYEAR N.5 CATENE NEVE (C)  ;A VISTA da 1 x 1    ;      -189,0;      -189
002894;CENERELLO 18L                 ;A VISTA da 1 x 1    ;      -373,0;      -373
003120;BATTERIA LIQUIMOLY 100 AH DX  ;A VISTA da 1 x 1    ;       -99,0;       -99
002328;GOODYEAR N.6 CATENE NEVE (C)  ;A VISTA da 1 x 1    ;      -182,0;      -182
002857;BOSCH EASYTRIM ART 23         ;A VISTA da 1 x 1    ;      -239,0;      -239
001073;BOSCH CAR.BATTERIE BATTMAX 4  ;CONF. da 10 x 1     ;       -39,7;      -397
002327;GOODYEAR N.7 CATENE NEVE (C)  ;A VISTA da 1 x 1    ;      -169,0;      -169
002330;GOODYEAR N.10 CATENE NEVE (C) ;A VISTA da 1 x 1    ;      -166,0;      -166
002777;BOSCH CACCIAVITE A CRICCHETTO ;CONF. da 10 x 1     ;       -98,3;      -983
000135;CASTROL SLX LONGLIFE 4 LT.1   ;CONF. da 12 x 1     ;       -52,9;      -635
002735;LAFAYETTE KIT SORVEGLIAN MB-62;A VISTA da 1 x 1    ;       -91,0;       -91
002544;BATTERIA MV+ 80               ;A VISTA da 1 x 1    ;      -121,0;      -121
002622;COMPRESSORE BOXY REVOLUTION   ;A VISTA da 1 x 1    ;       -95,0;       -95
003096;SKIL SMERIGLIATRICE ANG.115MM ;A VISTA da 1 x 1    ;      -200,0;      -200
002980;BOSCH LEVIGATRICE PALM PSM80A ;A VISTA da 1 x 1    ;      -108,0;      -108
002695;SONAX CAVI BAT.TUV 16 mm2     ;A VISTA da 1 x 1    ;      -350,0;      -350
001416;AGIP PULITORE LT.0,25         ;CONF. da 24 x 0,250 ;       -50,2;    -1.206
002329;GOODYEAR N.8 CATENE NEVE (C)  ;A VISTA da 1 x 1    ;      -128,0;      -128
003039;IDRO CARRELLATA DUC 130       ;A VISTA da 1 x 1    ;      -110,0;      -110
002539;BATTERIA MV+ 40               ;A VISTA da 1 x 1    ;      -150,0;      -150
002399;MICHELIN GUANTI HOMBURG       ;A VISTA da 1 x 1    ;    -1.825,0;    -1.825
002842;JUMP STARTER THOR 150         ;A VISTA da 1 x 1    ;       -65,0;       -65
003110;DREMEL VERSA FLAME            ;A VISTA da 1 x 2    ;      -100,0;      -100
002331;GOODYEAR N.11 CATENE NEVE (C) ;A VISTA da 1 x 1    ;      -103,0;      -103
002333;GOODYEAR N.3 CATENE NEVE (C)  ;A VISTA da 1 x 1    ;      -100,0;      -100
000362;LUBEX CATENE MOTOSEGHE LT.5   ;CONF. da 6 x 5      ;       -90,5;      -543
003109;BOSCH LIVELLA LASER PLL5      ;A VISTA da 1 x 1    ;      -100,0;      -100
002637;CASTROL EDGE 5W30 LT.208      ;FUSTO da 1 x 208    ;        -2,0;        -2
002987;SOFFIATORE A BENZINA BLS31    ;A VISTA da 1 x 1    ;       -35,0;       -35
