 [BOSS      ] - [11/08/21] - [14"28'26] Cancellata la sessione orfana: utente ORDINI08 PID 7508 postazione SYSTEM programma gclienti lanciata il 06/08/2021 alle 16:17
 [BOSS      ] - [11/08/21] - [14"28'26] Cancellata la sessione orfana: utente ORDINI08 PID 7508 postazione SYSTEM programma solleciti lanciata il 06/08/2021 alle 16:18
 [BOSS      ] - [11/08/21] - [14"59'18] Cancellata la sessione orfana: utente ORDINI08 PID 7508 postazione SYSTEM programma gclienti lanciata il 06/08/2021 alle 16:17
 [BOSS      ] - [11/08/21] - [14"59'18] Cancellata la sessione orfana: utente ORDINI08 PID 7508 postazione SYSTEM programma solleciti lanciata il 06/08/2021 alle 16:18
 [BOSS      ] - [11/08/21] - [15"07'39] Cancellata la sessione orfana: utente BOSS PID 19636 postazione andre programma evacli lanciata il 11/08/2021 alle 15:05
 [BOSS      ] - [11/08/21] - [15"13'41] Cancellata la sessione orfana: utente ORDINI08 PID 7508 postazione SYSTEM programma gclienti lanciata il 06/08/2021 alle 16:17
 [BOSS      ] - [11/08/21] - [15"13'41] Cancellata la sessione orfana: utente ORDINI08 PID 7508 postazione SYSTEM programma solleciti lanciata il 06/08/2021 alle 16:18
 [BOSS      ] - [11/08/21] - [15"19'47] Cancellata la sessione orfana: utente ORDINI08 PID 7508 postazione SYSTEM programma gclienti lanciata il 06/08/2021 alle 16:17
 [BOSS      ] - [11/08/21] - [15"19'47] Cancellata la sessione orfana: utente ORDINI08 PID 7508 postazione SYSTEM programma solleciti lanciata il 06/08/2021 alle 16:18
 [BOSS      ] - [11/08/21] - [15"26'06] Cancellata la sessione orfana: utente ORDINI08 PID 7508 postazione SYSTEM programma gclienti lanciata il 06/08/2021 alle 16:17
 [BOSS      ] - [11/08/21] - [15"26'06] Cancellata la sessione orfana: utente ORDINI08 PID 7508 postazione SYSTEM programma solleciti lanciata il 06/08/2021 alle 16:18
 [BOSS      ] - [07/09/21] - [10"10'24] Cancellata la sessione orfana: utente BOSS PID 2236 postazione andre programma contab lanciata il 25/08/2021 alle 15:58
 [BOSS      ] - [07/09/21] - [10"10'24] Cancellata la sessione orfana: utente BOSS PID 2356 postazione andre programma gclienti lanciata il 31/08/2021 alle 00:58
 [BOSS      ] - [07/09/21] - [10"10'24] Cancellata la sessione orfana: utente VENDITE2 PID 2636 postazione SYSTEM programma selordini lanciata il 25/08/2021 alle 11:47
 [BOSS      ] - [07/09/21] - [10"10'24] Cancellata la sessione orfana: utente ORDINI04 PID 3580 postazione SYSTEM programma garticoli lanciata il 25/08/2021 alle 11:42
 [BOSS      ] - [07/09/21] - [10"10'24] Cancellata la sessione orfana: utente ORDINIXP PID 4724 postazione SYSTEM programma solleciti lanciata il 25/08/2021 alle 11:38
 [BOSS      ] - [07/09/21] - [10"10'24] Cancellata la sessione orfana: utente BOSS PID 5148 postazione andre programma gclienti lanciata il 31/08/2021 alle 00:57
 [BOSS      ] - [07/09/21] - [10"10'24] Cancellata la sessione orfana: utente ORDINI03 PID 5420 postazione SYSTEM programma selordini lanciata il 25/08/2021 alle 09:32
 [BOSS      ] - [07/09/21] - [10"10'24] Cancellata la sessione orfana: utente ORDINI03 PID 5420 postazione SYSTEM programma solleciti lanciata il 25/08/2021 alle 09:44
 [BOSS      ] - [07/09/21] - [10"10'24] Cancellata la sessione orfana: utente CONTAB2 PID 6264 postazione SYSTEM programma selordforn lanciata il 25/08/2021 alle 11:38
 [BOSS      ] - [07/09/21] - [10"10'24] Cancellata la sessione orfana: utente CONTAB2 PID 6264 postazione SYSTEM programma vmovmag lanciata il 25/08/2021 alle 10:57
 [BOSS      ] - [07/09/21] - [10"10'24] Cancellata la sessione orfana: utente LOGISTI3 PID 6776 postazione SYSTEM programma evasione lanciata il 25/08/2021 alle 11:46
 [BOSS      ] - [07/09/21] - [10"10'24] Cancellata la sessione orfana: utente LOGISTI3 PID 6776 postazione SYSTEM programma selbozze lanciata il 25/08/2021 alle 11:41
 [BOSS      ] - [07/09/21] - [10"10'24] Cancellata la sessione orfana: utente LOGISTI3 PID 6776 postazione SYSTEM programma selordforn lanciata il 25/08/2021 alle 11:48
 [BOSS      ] - [07/09/21] - [10"10'24] Cancellata la sessione orfana: utente LOGISTI3 PID 6776 postazione SYSTEM programma vmovordforn lanciata il 25/08/2021 alle 11:47
 [BOSS      ] - [07/09/21] - [10"10'24] Cancellata la sessione orfana: utente ORDINI00 PID 6900 postazione SYSTEM programma ricstadoc lanciata il 25/08/2021 alle 10:46
 [BOSS      ] - [07/09/21] - [10"10'24] Cancellata la sessione orfana: utente ORDINI00 PID 6900 postazione SYSTEM programma selordini lanciata il 25/08/2021 alle 10:55
 [BOSS      ] - [07/09/21] - [10"10'24] Cancellata la sessione orfana: utente BOSS PID 6960 postazione andre programma gclienti lanciata il 31/08/2021 alle 00:52
 [BOSS      ] - [07/09/21] - [10"10'24] Cancellata la sessione orfana: utente BOSS PID 7988 postazione andre programma gclienti lanciata il 31/08/2021 alle 00:56
 [BOSS      ] - [07/09/21] - [10"10'24] Cancellata la sessione orfana: utente BOSS PID 10476 postazione andre programma gclienti lanciata il 31/08/2021 alle 00:53
 [BOSS      ] - [07/09/21] - [10"10'24] Cancellata la sessione orfana: utente BOSS PID 13216 postazione andre programma gclienti lanciata il 31/08/2021 alle 00:47
 [BOSS      ] - [07/09/21] - [10"10'24] Cancellata la sessione orfana: utente BOSS PID 13436 postazione andre programma gclienti lanciata il 31/08/2021 alle 00:51
 [BOSS      ] - [07/09/21] - [10"12'17] Cancellata la sessione orfana: utente BOSS PID 13248 postazione andre programma evacli lanciata il 07/09/2021 alle 10:11
 [BOSS      ] - [07/09/21] - [10"17'27] Cancellata la sessione orfana: utente BOSS PID 16596 postazione andre programma evacli lanciata il 07/09/2021 alle 10:13
 [BOSS      ] - [07/09/21] - [10"23'26] Cancellata la sessione orfana: utente BOSS PID 16220 postazione andre programma evacli lanciata il 07/09/2021 alle 10:22
 [BOSS      ] - [07/09/21] - [10"25'08] Cancellata la sessione orfana: utente BOSS PID 15528 postazione andre programma evacli lanciata il 07/09/2021 alle 10:24
 [BOSS      ] - [08/10/21] - [15"22'42] Cancellata la sessione orfana: utente CONTAB1 PID 868 postazione SYSTEM programma vmovmag lanciata il 06/10/2021 alle 10:30
 [BOSS      ] - [08/10/21] - [15"22'42] Cancellata la sessione orfana: utente ORDINI03 PID 2372 postazione SYSTEM programma edi-impord lanciata il 06/10/2021 alle 12:12
 [BOSS      ] - [08/10/21] - [15"22'42] Cancellata la sessione orfana: utente ORDINI03 PID 2372 postazione SYSTEM programma edi-selordini lanciata il 06/10/2021 alle 12:12
 [BOSS      ] - [08/10/21] - [15"22'42] Cancellata la sessione orfana: utente ORDINI03 PID 2372 postazione SYSTEM programma gclienti lanciata il 06/10/2021 alle 12:29
 [BOSS      ] - [08/10/21] - [15"22'42] Cancellata la sessione orfana: utente VENDITE4 PID 2796 postazione SYSTEM programma ordine lanciata il 06/10/2021 alle 12:29
 [BOSS      ] - [08/10/21] - [15"22'42] Cancellata la sessione orfana: utente VENDITE2 PID 4052 postazione SYSTEM programma garticoli lanciata il 06/10/2021 alle 12:16
 [BOSS      ] - [08/10/21] - [15"22'42] Cancellata la sessione orfana: utente ORDINI00 PID 4292 postazione SYSTEM programma selordc lanciata il 06/10/2021 alle 09:31
 [BOSS      ] - [08/10/21] - [15"22'42] Cancellata la sessione orfana: utente LOGISTI3 PID 4572 postazione SYSTEM programma selbozze lanciata il 05/10/2021 alle 18:54
 [BOSS      ] - [08/10/21] - [15"22'42] Cancellata la sessione orfana: utente LOGISTI3 PID 4572 postazione SYSTEM programma selordforn lanciata il 05/10/2021 alle 18:58
 [BOSS      ] - [08/10/21] - [15"22'42] Cancellata la sessione orfana: utente VENDITE3 PID 6068 postazione SYSTEM programma gordforn lanciata il 06/10/2021 alle 11:38
