LUNBOL;LUDBOL;LUAORD;LUNORD;LURFOR;LUDORD;LUFLAG
"LU/408465           ";41219   ;19  ;235568   ;"2019084913          ";21219   ;" "
"LU/408466           ";41219   ;19  ;235569   ;"2019084914          ";301119  ;" "
"LU/408467           ";41219   ;19  ;235571   ;"2019084916          ";21219   ;" "
"LU/408468           ";41219   ;19  ;235572   ;"2019084917          ";21219   ;" "
"LU/408469           ";41219   ;19  ;235578   ;"2019084923          ";31219   ;" "
"LU/408470           ";41219   ;19  ;235579   ;"2019084924          ";291119  ;" "
"LU/408471           ";41219   ;19  ;235580   ;"2019084925          ";51119   ;" "
"LU/408472           ";41219   ;19  ;235581   ;"2019084926          ";291119  ;" "
"LU/408473           ";41219   ;19  ;235582   ;"2019084927          ";261119  ;" "
"LU/408474           ";41219   ;19  ;235584   ;"2019084929          ";291119  ;" "
"LU/408475           ";41219   ;19  ;235585   ;"2019084930          ";21219   ;" "
"LU/408476           ";41219   ;19  ;235587   ;"2019084932          ";291119  ;" "
"LU/408477           ";41219   ;19  ;235588   ;"2019084933          ";291119  ;" "
"LU/408478           ";41219   ;19  ;235589   ;"2019084934          ";291119  ;" "
"LU/408479           ";41219   ;19  ;235590   ;"2019084935          ";291119  ;" "
"LU/408480           ";41219   ;19  ;235592   ;"2019084937          ";11219   ;" "
"LU/408481           ";41219   ;19  ;235593   ;"2019084940          ";31219   ;" "
"LU/408482           ";41219   ;19  ;235594   ;"2019084941          ";21219   ;" "
"LU/408483           ";41219   ;19  ;235596   ;"2019084943          ";251119  ;" "
"LU/408484           ";41219   ;19  ;235599   ;"2019084946          ";291119  ;" "
"LU/408485           ";41219   ;19  ;235602   ;"2019084949          ";21219   ;" "
"LU/408510           ";41219   ;19  ;235603   ;"2019084950          ";21219   ;" "
"LU/408486           ";41219   ;19  ;235604   ;"2019084951          ";21219   ;" "
"LU/408511           ";41219   ;19  ;235605   ;"2019084952          ";21219   ;" "
"LU/408461           ";41219   ;19  ;235606   ;"2019084954          ";21219   ;" "
"LU/408512           ";41219   ;19  ;235608   ;"2019084956          ";21219   ;" "
"LU/408487           ";41219   ;19  ;235610   ;"2019084958          ";31219   ;" "
"LU/408488           ";41219   ;19  ;235611   ;"2019084959          ";291119  ;" "
"LU/408489           ";41219   ;19  ;235612   ;"2019084960          ";11219   ;" "
"LU/408490           ";41219   ;19  ;235613   ;"2019084961          ";31219   ;" "
"LU/408491           ";41219   ;19  ;235614   ;"2019084962          ";11219   ;" "
"LU/408492           ";41219   ;19  ;235615   ;"2019084963          ";241119  ;" "
"LU/408493           ";41219   ;19  ;235617   ;"2019084965          ";31219   ;" "
"LU/408494           ";41219   ;19  ;235619   ;"2019084967          ";21219   ;" "
"LU/408495           ";41219   ;19  ;235621   ;"2019084971          ";301119  ;" "
"LU/408496           ";41219   ;19  ;235623   ;"2019084973          ";291119  ;" "
"LU/408513           ";41219   ;19  ;235624   ;"2019084974          ";291119  ;" "
"LU/408497           ";41219   ;19  ;235625   ;"2019084975          ";31219   ;" "
"LU/408498           ";41219   ;19  ;235626   ;"2019084976          ";21219   ;" "
"LU/408499           ";41219   ;19  ;235627   ;"2019084977          ";21219   ;" "
"LU/408462           ";41219   ;19  ;235629   ;"2019084979          ";21219   ;" "
"LU/408500           ";41219   ;19  ;235630   ;"2019084980          ";31219   ;" "
"LU/408514           ";41219   ;19  ;235631   ;"2019084981          ";221119  ;" "
"LU/408515           ";41219   ;19  ;235632   ;"2019084982          ";221119  ;" "
"LU/408501           ";41219   ;19  ;235635   ;"2019084985          ";21219   ;" "
"LU/408502           ";41219   ;19  ;235636   ;"2019084986          ";21219   ;" "
"LU/408516           ";41219   ;19  ;235637   ;"2019084987          ";21219   ;" "
"LU/408503           ";41219   ;19  ;235639   ;"2019084989          ";31219   ;" "
"LU/408504           ";41219   ;19  ;235640   ;"2019084990          ";21219   ;" "
"LU/408517           ";41219   ;19  ;235641   ;"2019084991          ";21219   ;" "
"LU/408505           ";41219   ;19  ;235642   ;"2019084992          ";291119  ;" "
"LU/408506           ";41219   ;19  ;235644   ;"2019084994          ";21219   ;" "
"LU/408518           ";41219   ;19  ;235645   ;"2019084995          ";301119  ;" "
"LU/408463           ";41219   ;19  ;235646   ;"2019084996          ";291119  ;" "
"LU/408464           ";41219   ;19  ;235647   ;"2019084997          ";291119  ;" "
"LU/408507           ";41219   ;19  ;235648   ;"2019084998          ";21219   ;" "
"LU/408508           ";41219   ;19  ;235649   ;"2019084999          ";61119   ;" "
"LU/408519           ";41219   ;19  ;235650   ;"2019085003          ";21219   ;" "
"LU/408520           ";41219   ;19  ;235651   ;"2019085004          ";291119  ;" "
"LU/408509           ";41219   ;19  ;235812   ;"LU0029              ";31219   ;" "
