               2022000858     00001S750           009577-C12                                             0000000873          00000000012000PZ                                                00038435                 2021                     AG-217-2021-131          20211229                 000008738008959954025
SIN            2022014677     00028S750           018316-VIS                                             0000000200          00000000002000PZ                                                00004907                 2022                     30358                    20220216                 00000200
SIN            2022014677     00029S750           018317-VIS                                             0000000200          00000000001000PZ                                                00004907                 2022                     30358                    20220216                 00000200
SIN            2022014677     00030S750           018318-VIS                                             0000000200          00000000002000PZ                                                00004907                 2022                     30358                    20220216                 00000200
SIN            2022014677     00031S750           018319-VIS                                             0000000200          00000000002000PZ                                                00004907                 2022                     30358                    20220216                 00000200
SIN            2022014677     00032S750           018320-VIS                                             0000000200          00000000004000PZ                                                00004907                 2022                     30358                    20220216                 00000200
SIN            2022014677     00033S750           018321-VIS                                             0000000200          00000000004000PZ                                                00004907                 2022                     30358                    20220216                 00000200
SIN            2022014677     00034S750           018322-VIS                                             0000000200          00000000001000PZ                                                00004907                 2022                     30358                    20220216                 00000200
SIN            2022014677     00035S750           018323-VIS                                             0000000200          00000000002000PZ                                                00004907                 2022                     30358                    20220216                 00000200
SIN            2022014677     00036S750           033723-VIS                                             0000001200          00000000003000PZ                                                00004907                 2022                     30358                    20220216                 00001200
SIN            2022014677     00037S750           033724-VIS                                             0000001200          00000000003000PZ                                                00004907                 2022                     30358                    20220216                 00001200
SIN            2022014677     00038S750           033725-VIS                                             0000001200          00000000004000PZ                                                00004907                 2022                     30358                    20220216                 00001200
SIN            2022014677     00039S750           033726-VIS                                             0000001200          00000000004000PZ                                                00004907                 2022                     30358                    20220216                 00001200
SIN            2022014677     00040S750           033727-VIS                                             0000001200          00000000005000PZ                                                00004907                 2022                     30358                    20220216                 00001200
SIN            2022014677     00041S750           033728-VIS                                             0000001200          00000000004000PZ                                                00004907                 2022                     30358                    20220216                 00001200
SIN            2022014677     00042S750           033729-VIS                                             0000001200          00000000002000PZ                                                00004907                 2022                     30358                    20220216                 00001200
SIN            2022014677     00043S750           033730-VIS                                             0000001200          00000000002000PZ                                                00004907                 2022                     30358                    20220216                 00001200
SIN            2022014677     00044S750           033731-VIS                                             0000001200          00000000001000PZ                                                00004907                 2022                     30358                    20220216                 00001200
SIN            2022014677     00045S750           018504-VIS                                             0000000200          00000000002000PZ                                                00004907                 2022                     30358                    20220216                 00000200
SIN            2022014677     00046S750           018505-VIS                                             0000000200          00000000003000PZ                                                00004907                 2022                     30358                    20220216                 00000200
SIN            2022014677     00047S750           018506-VIS                                             0000000200          00000000003000PZ                                                00004907                 2022                     30358                    20220216                 00000200
SIN            2022014677     00048S750           018507-VIS                                             0000000200          00000000004000PZ                                                00004907                 2022                     30358                    20220216                 00000200
SIN            2022014677     00049S750           018508-VIS                                             0000000200          00000000004000PZ                                                00004907                 2022                     30358                    20220216                 00000200
SIN            2022014677     00050S750           034633-VIS                                             0000000850          00000000002000PZ                                                00004907                 2022                     30358                    20220216                 00000850
SIN            2022014677     00051S750           034632-VIS                                             0000000850          00000000001000PZ                                                00004907                 2022                     30358                    20220216                 00000850
SIN            2022014677     00052S750           034631-VIS                                             0000000850          00000000001000PZ                                                00004907                 2022                     30358                    20220216                 00000850
SIN            2022014677     00053S750           034643-VIS                                             0000000850          00000000002000PZ                                                00004907                 2022                     30358                    20220216                 00000850
SIN            2022014677     00054S750           034642-VIS                                             0000000850          00000000001000PZ                                                00004907                 2022                     30358                    20220216                 00000850
SIN            2022014677     00055S750           034641-VIS                                             0000000850          00000000001000PZ                                                00004907                 2022                     30358                    20220216                 00000850
SIN            2022014677     00056S750           034752-VIS                                             0000000850          00000000005000PZ                                                00004907                 2022                     30358                    20220216                 00000850
SIN            2022014677     00057S750           034662-VIS                                             0000000850          00000000005000PZ                                                00004907                 2022                     30358                    20220216                 00000850
SIN            2022014677     00058S750           034663-VIS                                             0000000850          00000000005000PZ                                                00004907                 2022                     30358                    20220216                 00000850
SIN            2022014677     00059S750           034664-VIS                                             0000000850          00000000005000PZ                                                00004907                 2022                     30358                    20220216                 00000850
SIN            2022014677     00060S750           034813-VIS                                             0000002000          00000000001000PZ                                                00004907                 2022                     30358                    20220216                 00002000
SIN            2022014772     00001S750           033712-C12                                             0000000880          00000000012000PZ                                                00006053                 2022                     30544                    20220228                 00000880
SIN            2022014772     00002S750           026793-C04                                             0000003520          00000000008000PZ                                                00006053                 2022                     30544                    20220228                 00003520
SIN            2022014772     00003S750           026741-C12                                             0000000871          00000000024000PZ                                                00006053                 2022                     30544                    20220228                 00000871
SIN            2022014772     00004S750           029725-C04                                             0000003464          00000000004000PZ                                                00006053                 2022                     30544                    20220228                 00003464
SIN            2022014772     00005S750           026792-C12                                             0000000890          00000000024000PZ                                                00006053                 2022                     30544                    20220228                 00000890
SIN            2022014772     00006S750           026971-VIS                                             0000000200          00000000001000PZ                                                00006053                 2022                     30544                    20220228                 00000200
SIN            2022014772     00007S750           026972-VIS                                             0000001300          00000000002000PZ                                                00006053                 2022                     30544                    20220228                 00001300
