2022;00024882;ANDREAS FILIS AEBE AM                                                                               ;OLD NAT.ROAD ATHINON - THIVON                                                                       ;19600;MANDRA                                                                                              ;EE;
2022;00024883;DIMITRIOS DRIVAKOS                                                                                  ;AVE LEOF. ATHINON 6                                                                                 ;10441;ATHENS                                                                                              ;EE;
2022;00024884;TASTANIS KONSTANTINOS                                                                               ;LEOFOROS ATHINON 11-12                                                                              ;19500;LAVRIO, ATTIKI                                                                                      ;EE;
2022;00024952;TAGLIANDODIRETTO.IT SRL                                                                             ;STRADA PROVINCIALE BELLINGERA 50                                                                    ;27100;PAVIA                                                                                               ;PV;
2022;00024953;TAGLIANDODIRETTO.IT SRL                                                                             ;STRADA PROVINCIALE BELLINGERA 50                                                                    ;27100;PAVIA                                                                                               ;PV;
2022;00024987;EUROBRICO SPA                                                                                       ;VIALE DELL'INDUSTRIA 2                                                                              ;35026;CONSELVE                                                                                            ;PD;
2022;00025320;TAGLIANDODIRETTO.IT SRL                                                                             ;VIA ANTONIO BANFI 5                                                                                 ;20122;MILANO                                                                                              ;MI;
2022;00025321;TAGLIANDODIRETTO.IT SRL                                                                             ;VIA ANTONIO BANFI 5                                                                                 ;20122;MILANO                                                                                              ;MI;
2022;00025322;TAGLIANDODIRETTO.IT SRL                                                                             ;VIA ANTONIO BANFI 5                                                                                 ;20122;MILANO                                                                                              ;MI;
2022;00025323;TAGLIANDODIRETTO.IT SRL                                                                             ;VIA ANTONIO BANFI 5                                                                                 ;20122;MILANO                                                                                              ;MI;
2022;00025324;TAGLIANDODIRETTO.IT SRL                                                                             ;VIA ANTONIO BANFI 5                                                                                 ;20122;MILANO                                                                                              ;MI;
2022;00025325;TAGLIANDODIRETTO.IT SRL                                                                             ;VIA ANTONIO BANFI 5                                                                                 ;20122;MILANO                                                                                              ;MI;
2022;00025326;TAGLIANDODIRETTO.IT SRL                                                                             ;VIA ANTONIO BANFI 5                                                                                 ;20122;MILANO                                                                                              ;MI;
2022;00025327;TAGLIANDODIRETTO.IT SRL                                                                             ;VIA ANTONIO BANFI 5                                                                                 ;20122;MILANO                                                                                              ;MI;
2022;00025328;TAGLIANDODIRETTO.IT SRL                                                                             ;VIA ANTONIO BANFI 5                                                                                 ;20122;MILANO                                                                                              ;MI;
2022;00025329;TAGLIANDODIRETTO.IT SRL                                                                             ;VIA ANTONIO BANFI 5                                                                                 ;20122;MILANO                                                                                              ;MI;
2022;00025330;TAGLIANDODIRETTO.IT SRL                                                                             ;VIA ANTONIO BANFI 5                                                                                 ;20122;MILANO                                                                                              ;MI;
2022;00025332;COOP ITALIA SOCIETA' COOPERATIVA                                                                    ;VIA NOTTINGHAM 27                                                                                   ;59100;PRATO                                                                                               ;PO;
2022;00025333;COOP ITALIA SOCIETA' COOPERATIVA                                                                    ;VIA NOTTINGHAM 27                                                                                   ;59100;PRATO                                                                                               ;PO;
2022;00025362;ATTILIO TRUCCO SRL                                                                                  ;VIA RUBALDO MERELLO 6D                                                                              ;16142;GENOVA                                                                                              ;GE;
2022;00025379;EUROBRICO SPA                                                                                       ;VIA BOSTONE 36                                                                                      ;25089;VILLANUOVA SUL CLISI                                                                                ;BS;
2022;00025415;TAGLIANDODIRETTO.IT SRL                                                                             ;STRADA PROVINCIALE BELLINGERA 50                                                                    ;27100;PAVIA                                                                                               ;PV;
2022;00025416;TAGLIANDODIRETTO.IT SRL                                                                             ;STRADA PROVINCIALE BELLINGERA 50                                                                    ;27100;PAVIA                                                                                               ;PV;
2022;00025418;TAGLIANDODIRETTO.IT SRL                                                                             ;VIA ANTONIO BANFI 5                                                                                 ;20122;MILANO                                                                                              ;MI;
2022;00025419;TAGLIANDODIRETTO.IT SRL                                                                             ;VIA ANTONIO BANFI 5                                                                                 ;20122;MILANO                                                                                              ;MI;
2022;00025421;TAGLIANDODIRETTO.IT SRL                                                                             ;VIA ANTONIO BANFI 5                                                                                 ;20122;MILANO                                                                                              ;MI;
2022;00025441;ALBRI SRL                                                                                           ;VIA FRATELLI BRONZETTI, 10                                                                          ;24124;BERGAMO                                                                                             ;BG;
2022;00025460;IPER MONTEBELLO SPA                                                                                 ;VIA BRUSAPORTO 41                                                                                   ;24068;SERIATE                                                                                             ;BG;
2022;00025461;ROSSETTO TRADE SPA                                                                                  ;VIA CASE SPARSE 19 - LOC. MONTIDON                                                                  ;37010;S. AMBROGIO DI VALPOLICELLA                                                                         ;VR;
2022;00025463;IPER MONTEBELLO SPA                                                                                 ;VIA DELL'INFORMATICA                                                                                ;37036;S.MARTINO B.ALBERGO                                                                                 ;VR;
2022;00025485;AMP AFTERMARKET PARTS SRL                                                                           ;VIALE DELL'INDUSTRIA 41/45                                                                          ;20020;BUSTO GAROLFO                                                                                       ;MI;
2022;00025494;CORSICO RICAMBI SRL                                                                                 ;VIA TOSCANELLI 3                                                                                    ;20090;BUCCINASCO                                                                                          ;MI;
2022;00025497;EUROBRICO SPA                                                                                       ;VIA DELL'INDUSTRIA 28                                                                               ;31015;CONEGLIANO                                                                                          ;TV;
2022;00025508;LEVA SRL                                                                                            ;VIA COMASINA 107                                                                                    ;20843;VERANO BRIANZA                                                                                      ;MB;
2022;00025821;GS SPA                                                                                              ;VIALE MILANOFIORI                                                                                   ;20090;ASSAGO                                                                                              ;MI;
2022;00025822;GS SPA                                                                                              ;STRADA PROVINCIALE 208 KM.2                                                                         ;20061;CARUGATE                                                                                            ;MI;
2022;00025824;GS SPA                                                                                              ;VIALE MILANO 163                                                                                    ;21013;GALLARATE                                                                                           ;VA;
2022;00025825;GS SPA                                                                                              ;VIA PREALPI                                                                                         ;20833;GIUSSANO                                                                                            ;MI;
2022;00025826;GS SPA                                                                                              ;VIA ISONZO 5                                                                                        ;20812;LIMBIATE                                                                                            ;MI;
2022;00025827;GS SPA                                                                                              ;S.S. 35 DEI GIOVI                                                                                   ;20037;PADERNO DUGNANO                                                                                     ;MI;
2022;00025828;GS SPA                                                                                              ;S.S. VIGENTINA - VIA CASSANI SNC                                                                    ;27100;PAVIA                                                                                               ;PV;
2022;00025834;ALBRI SRL                                                                                           ;VIA L. DA VINCI SNC                                                                                 ;88040;FALERNA SCALO                                                                                       ;CZ;
2022;00025835;ALBRI SRL                                                                                           ;VIA PALMA, 468                                                                                      ;80040;STRIANO                                                                                             ;NA;
2022;00025837;ALBRI SRL                                                                                           ;SS 96 KM 113                                                                                        ;70027;PALO DEL COLLE                                                                                      ;BA;
2022;00025838;ALBRI SRL                                                                                           ;VIA NAZIONALE, 186                                                                                  ;54011;AULLA                                                                                               ;MS;
2022;00025840;DAZIANO LUBRIFICANTI S.r.l.                                                                         ;VIA MONDOVI' 54                                                                                     ;12081;BEINETTE                                                                                            ;CN;
2022;00025847;SOC. MAREMMANA PETROLI A R. L.                                                                      ;VIALE CHARLES LENORMANT, 123                                                                        ;00125;ROMA                                                                                                ;RM;
2022;00025858;MESSINA AUTOTRASPORTI SRL                                                                           ;VIA CASCINA NUOVA 1                                                                                 ;20084;LACHIARELLA                                                                                         ;MI;
2022;00025859;G. & G. RAPPRESENTANZE SRL                                                                          ;VIA DE GASPERI 17                                                                                   ;24048;TREVIOLO                                                                                            ;BG;
2022;00025860;PEGASO LUBRIFICANTI SNC DI MAIONCHI G.                                                              ;VIA RIBALDACCIO 22/24                                                                               ;50025;MONTESPERTOLI                                                                                       ;FI;
2022;00025861;VOLVO GROUP ITALIA SPA                                                                              ;VIA DEL LAVORO 27                                                                                   ;20863;CONCOREZZO                                                                                          ;MB;
2022;00025862;VOLVO GROUP ITALIA SPA                                                                              ;VIA SARDORELLA 97                                                                                   ;16162;GENOVA                                                                                              ;GE;
2022;00025863;PAC 2000 A SOCIETA' COOPERATIVA                                                                     ;VIA APPIA - S.S. 7 - C.DA SAN VITO                                                                  ;82100;BENEVENTO                                                                                           ;BN;
2022;00025883;ALBRI SRL                                                                                           ;VIA ROMA., 42                                                                                       ;37050;OPPEANO                                                                                             ;VR;
2022;00025885;ALBRI SRL                                                                                           ;VIA MATTEO RENATO IMBRIANI (S.S. 16                                                                 ;76011;BISCEGLIE                                                                                           ;BT;
2022;00025886;AUTOMOTO RICAMBI CHILOIRO POPOLA                                                                    ;VIA S. PELLICO, 47/49                                                                               ;74027;SAN GIORGIO IONICO                                                                                  ;TA;
2022;00025887;AUTORICAMBI F.LLI CAPUANI SAS                                                                       ;VIA CASILINA KM 49.600                                                                              ;00034;COLLEFERRO                                                                                          ;RM;
2022;00025888;BRICOFER GROUP SPA                                                                                  ;VIA ABBAGNANO SNC - C.COMM IL MOLINO                                                                ;60019;SENIGALLIA                                                                                          ;AN;
